medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team,is_medallist,birth_place
7/8/2024,Gold Medal,1,WANG Ciyue,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,14/11/1999,1908850,SWAWTEAM8---CHN01,TRUE,JIANG SU
7/8/2024,Gold Medal,1,WANG Liuyi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,16/1/1997,1908852,SWAWTEAM8---CHN01,TRUE,GUANG DONG
7/8/2024,Gold Medal,1,XIANG Binxuan,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,16/11/2001,1908855,SWAWTEAM8---CHN01,TRUE,SI CHUAN
7/8/2024,Gold Medal,1,XIAO Yanning,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,23/2/1998,1908854,SWAWTEAM8---CHN01,TRUE,SI CHUAN
7/8/2024,Gold Medal,1,ZHANG Yayi,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,6/5/1997,1908851,SWAWTEAM8---CHN01,TRUE,HU NAN
7/8/2024,Gold Medal,1,CHENG Wentao,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,O,Artistic Swimming,Team,TEAM,/en/paris-2024/results/artistic-swimming/team/fnl-000100--,18/5/1998,1908848,SWAWTEAM8---CHN01,FALSE,BEI JING
8/8/2024,Gold Medal,1,LIU Hao,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,LIU Hao / JI Bowen,M,Canoe Sprint,Men's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------,6/9/1993,1927393,CSPMC2-500M-CHN01,TRUE,YUN NAN
8/8/2024,Gold Medal,1,JI Bowen,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,LIU Hao / JI Bowen,M,Canoe Sprint,Men's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/men-s-canoe-double-500m/fnl---------,22/2/2002,1927392,CSPMC2-500M-CHN01,TRUE,ZHE JIANG
9/8/2024,Gold Medal,1,XU Shixiao,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,XU Shixiao / SUN Mengya,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,16/2/1992,1927382,CSPWC2-500M-CHN01,TRUE,JIANG XI
9/8/2024,Gold Medal,1,SUN Mengya,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,XU Shixiao / SUN Mengya,W,Canoe Sprint,Women's Canoe Double 500m,COUP,/en/paris-2024/results/canoe-sprint/women-s-canoe-double-500m/fnl---------,3/5/2001,1927383,CSPWC2-500M-CHN01,TRUE,SHAN DONG
9/8/2024,Silver Medal,2,YE Jiao,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,21/10/1994,1926915,HOCWTEAM11--CHN01,TRUE,SI CHUAN
9/8/2024,Silver Medal,2,GU Bingfeng,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,25/1/1994,1926896,HOCWTEAM11--CHN01,TRUE,LIAO NING
9/8/2024,Silver Medal,2,YANG Liu,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,People's Republic of China,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,1/9/1998,1926914,HOCWTEAM11--CHN01,TRUE,SI CHUAN
